26_IDEN;26_NAM
"0001370900000";Rhein-Mosel
"0002350400000";Ruwer
"0001370800000";Weißenthurm
"0003380400000";Maxdorf
"0002330100000";Daun
"0002350800000";Saarburg-Kell
"0002330400000";Kelberg
"0002310900000";Traben-Trarbach
"0001380100000";Asbach
"0002310800000";Wittlich-Land
"0001380200000";Bad Hönningen
"0001431000000";Wirges
"0001380300000";Dierdorf
"0002310600000";Thalfang a.Erbeskopf
"0002350300000";Konz
"0002350100000";Hermeskeil
"0001411000000";Bad Ems-Nassau
"0002310100000";Bernkastel-Kues
"0001411100000";Aar-Einrich
"0001310400000";Brohltal
