26_IDEN;26_NAM
"4483400400000";"Rodalben, VG"
"1021320800000";"Wissen, VG"
"1101430300000";"Höhr-Grenzhausen, VG"
"3303390800000";"Sprendlingen-Gensingen, VG"
"4463350900000";"Weilerbach, VG"
"4463350800000";"Ramstein-Miesenbach, VG"
"3303390300000";"Gau-Algesheim, VG"
"2202330100000";"Daun, VG"
"4483400200000";"Hauenstein, VG"
"3303390100000";"Rhein-Nahe, VG"
"4483400300000";"Pirmasens-Land, VG"
"4483400100000";"Dahner Felsenland, VG"
"1011430600000";"Rennerod, VG"
"2262350300000";"Konz, VG"
"4453320500000";"Lambrecht (Pfalz), VG"
"2171330100000";"Bad Kreuznach, VG"
"2262350100000";"Hermeskeil, VG"
"1051430900000";"Westerburg, VG"
"1021320600000";"Hamm (Sieg), VG"
"3323310300000";"Monsheim, VG"
"1121370900000";"Rhein-Mosel, VG"
"1061431000000";"Wirges, VG"
"1021321000000";"Altenkirchen-Flammersfeld, VG"
"3323310200000";"Eich, VG"
"1121370300000";"Vordereifel, VG"
"2262350800000";"Saarburg-Kell, VG"
"1011320900000";"Betzdorf-Gebhardshain, VG"
"1121370200000";"Maifeld, VG"
"3323310700000";"Wonnegau, VG"
"1081410900000";"Loreley, VG"
"3383380400000";"Maxdorf, VG"
"2151350500000";"Zell (Mosel), VG"
"4453351000000";"Otterbach-Otterberg, VG"
"1011320300000";"Daaden-Herdorf, VG"
"3393380700000";"Römerberg-Dudenhofen, VG"
"3383380800000";"Rheinauen, VG"
"1011320700000";"Kirchen (Sieg), VG"
"4493340400000";"Kandel, VG"
"4513340500000";"Lingenfeld, VG"
"4513370700000";"Offenbach an der Queich, VG"
"3383380100000";"Dannstadt-Schauernheim, VG"
"2171331100000";"Langenlonsheim-Stromberg, VG"
"4513340100000";"Bellheim, VG"
"2181330900000";"Kirner-Land, VG"
"1061430800000";"Wallmerod, VG"
"1061430500000";"Ransbach-Baumbach, VG"
"1141310100000";"Adenau, VG"
"1061430400000";"Montabaur, VG"
"3353380600000";"Lambsheim-Heßheim, VG"
"1081410007500";"Lahnstein, Verbandsfreie Gemeinde"
"3313390003000";"Ingelheim am Rhein, Verbandsfreie Gemeinde"
"1121370006800";"Mayen, Verbandsfreie Gemeinde"
"3333190000000";"Worms, Kreisfreie Stadt"
"4523340050100";"Wörth am Rhein, Verbandsfreie Gemeinde"
"3353110000000";"Frankenthal (Pfalz), Kreisfreie Stadt"
"4453120000000";"Kaiserslautern, Teilkreisfreie Stadt"
"3283150000000";"Mainz, Teilkreisfreie Stadt"
"2191340004500";"Idar-Oberstein, Verbandsfreie Gemeinde"
"4483170000000";"Pirmasens, Kreisfreie Stadt"
"3353380000400";"Bobenheim-Roxheim, Verbandsfreie Gemeinde"
"4513340000700";"Germersheim, Verbandsfreie Gemeinde"
"2212320001800";"Bitburg, Verbandsfreie Gemeinde"
"1131310007000";"Remagen, Verbandsfreie Gemeinde"
"1141310009000";"Grafschaft, Verbandsfreie Gemeinde"
"2252110000000";"Trier, Teilkreisfreie Stadt"
"1141310000700";"Bad Neuenahr-Ahrweiler, Verbandsfreie Gemeinde"
"3383380000500";"Böhl-Iggelheim, Verbandsfreie Gemeinde"
"4433320002500";"Haßloch, Verbandsfreie Gemeinde"
"2161400050100";"Boppard, Verbandsfreie Gemeinde"
"3363140000000";"Ludwigshafen am Rhein, Teilkreisfreie Stadt"
"1131310007700";"Sinzig, Verbandsfreie Gemeinde"
"2242110000000";"Trier, Teilkreisfreie Stadt"
"2171330000600";"Bad Kreuznach, Verbandsfreie Gemeinde"
"3393380002500";"Schifferstadt, Verbandsfreie Gemeinde"
"3393180000000";"Speyer, Kreisfreie Stadt"
"1111370000300";"Andernach, Verbandsfreie Gemeinde"
"1091110000000";"Koblenz,Teilkreisfreie Stadt"
"3343310000300";"Alzey, Verbandsfreie Gemeinde"
"2232310050200";"Morbach, Verbandsfreie Gemeinde"
"3303390000500";"Bingen am Rhein, Verbandsfreie Gemeinde"
"3293150000000";"Mainz, Teilkreisfreie Stadt"
"1101370020300";"Bendorf, Verbandsfreie Gemeinde"
"2222310013400";"Wittlich, Verbandsfreie Gemeinde"
"4503130000000";"Landau in der Pfalz, Kreisfreie Stadt"
"3273150000000";"Mainz, Teilkreisfreie Stadt"
"3383380001700";"Limburgerhof, Verbandsfreie Gemeinde"
"4423320000200";"Bad Dürkheim, Verbandsfreie Gemeinde"
"3373140000000";"Ludwigshafen am Rhein, Teilkreisfreie Stadt"
"4423320002400";"Grünstadt, Verbandsfreie Gemeinde"
"3313390000900";"Budenheim, Verbandsfreie Gemeinde"
"4443120000000";"Kaiserslautern, Teilkreisfreie Stadt"
"1081110000000";"Koblenz,Teilkreisfreie Stadt"
"1041380004500";"Neuwied, Verbandsfreie Gemeinde"
"3383380001900";"Mutterstadt, Verbandsfreie Gemeinde"
"4473200000000";"Zweibrücken, Kreisfreie Stadt"
"4433160000000";"Neustadt an der Weinstraße, Kreisfreie Stadt"
