26_NAM;26_IDEN
Niederdürenbach;"1131310405400"
Niederzissen;"1131310405500"
Oberdürenbach;"1131310405900"
Oberzissen;"1131310406000"
Schalkenbach;"1131310407300"
Brenk;"1131310420100"
Burgbrohl;"1131310420200"
Galenberg;"1131310420400"
Glees;"1131310420500"
Hohenleimbach;"1131310420600"
Spessart;"1131310420800"
Wassenach;"1131310420900"
Wehr;"1131310421000"
Weibern;"1131310421100"
Kempenich;"1131310450200"
Daaden;"1011320301800"
Derschen;"1011320301900"
Emmerzhausen;"1011320302600"
Friedewald;"1011320303600"
"Herdorf, Stadt";"1011320305000"
Mauden;"1011320306800"
Niederdreisbach;"1011320307500"
Nisterberg;"1011320307900"
Schutzbach;"1011320310100"
Weitefeld;"1011320311300"
Birkenbeul;"1021320600700"
Bitzen;"1021320601000"
Breitscheidt;"1021320601300"
Bruchertseifen;"1021320601400"
Etzbach;"1021320602800"
Forst;"1021320603400"
Fürthen;"1021320603800"
Hamm (Sieg);"1021320604400"
Niederirsen;"1021320607700"
Pracht;"1021320609100"
Roth;"1021320609600"
Seelbach bei Hamm (Sieg);"1021320610200"
Brachbach;"1011320701200"
Friesenhagen;"1011320703700"
Harbach;"1011320704500"
Kirchen (Sieg);"1011320706300"
Mudersbach;"1011320707200"
Niederfischbach;"1011320707600"
Birken-Honigsessen;"1021320800800"
Mittelhof;"1021320801100"
Hövels;"1021320805400"
Katzwinkel (Sieg);"1021320808000"
Selbach (Sieg);"1021320810500"
Wissen;"1021320811700"
Alsdorf;"1011320900200"
Betzdorf;"1011320900600"
Dickendorf;"1011320902000"
Elben;"1011320902400"
Elkenroth;"1011320902500"
Fensdorf;"1011320903000"
Gebhardshain;"1011320903900"
Grünebach;"1011320904200"
Kausen;"1011320905900"
Malberg;"1011320906600"
Molzhain;"1011320907100"
Nauroth;"1011320907300"
Rosenheim (Landkreis Altenkirchen);"1011320909500"
Scheuerfeld;"1011320909800"
Steinebach (Sieg);"1011320910700"
Steineroth;"1011320910800"
Wallmenroth;"1011320911100"
Almersbach;"1021321000100"
Bachenberg;"1021321000400"
Berzhausen;"1021321000500"
Birnbach;"1021321000900"
Bürdenbach;"1021321001500"
Burglahr;"1021321001600"
Busenhausen;"1021321001700"
Eichelhardt;"1021321002200"
Eichen;"1021321002300"
Ersfeld;"1021321002700"
Eulenberg;"1021321002900"
Fiersbach;"1021321003100"
Flammersfeld;"1021321003200"
Fluterschen;"1021321003300"
Forstmehren;"1021321003500"
Gieleroth;"1021321004000"
Giershausen;"1021321004100"
Güllesheim;"1021321004300"
Hasselbach;"1021321004600"
Helmenzen;"1021321004700"
Helmeroth;"1021321004800"
Hemmelzen;"1021321004900"
Heupelzen;"1021321005100"
Hilgenroth;"1021321005200"
Hirz-Maulsbach;"1021321005300"
Horhausen (Westerwald);"1021321005500"
Idelberg;"1021321005600"
Ingelbach;"1021321005700"
Isert;"1021321005800"
Kescheid;"1021321006000"
Kettenhausen;"1021321006100"
Kircheib;"1021321006200"
Kraam;"1021321006400"
Krunkel;"1021321006500"
Mammelzen;"1021321006700"
Mehren;"1021321006900"
Michelbach (Westerwald);"1021321007000"
Neitersen;"1021321050200"
Niedersteinebach;"1021321007800"
Obererbach (Westerwald);"1021321008100"
Oberirsen;"1021321008200"
Oberlahr;"1021321008300"
Obersteinebach;"1021321008500"
Oberwambach;"1021321008600"
Ölsen;"1021321008700"
Orfgen;"1021321008800"
Peterslahr;"1021321008900"
Pleckhausen;"1021321009000"
Racksen;"1021321009200"
Reiferscheid;"1021321009300"
Rettersen;"1021321009400"
Rott;"1021321009700"
Schöneberg;"1021321009900"
Schürdt;"1021321010000"
Seelbach (Westerwald);"1021321010300"
Seifen;"1021321010400"
Sörth;"1021321010600"
Stürzelbach;"1021321010900"
Volkerzen;"1021321011000"
Walterschen;"1021321011200"
Werkhausen;"1021321011400"
Weyerbusch;"1021321011500"
Willroth;"1021321011600"
Wölmersen;"1021321011800"
Ziegenhain;"1021321011900"
Berod bei Hachenburg;"1021321020100"
Altenkirchen (Westerwald);"1021321050100"
Altenbamberg;"2171330100300"
Biebelsheim;"2171330101200"
Feilbingert;"2171330103000"
Frei-Laubersheim;"2171330103100"
Fürfeld;"2171330103200"
Hackenheim;"2171330103700"
Hallgarten;"2171330103900"
Hochstätten;"2171330104500"
Neu-Bamberg;"2171330106900"
Pfaffen-Schwabenheim;"2171330107800"
Pleitersheim;"2171330108000"
Tiefenthal;"2171330110400"
Volxheim;"2171330110600"
Allenfeld;"2181330600200"
Argenschwang;"2181330600400"
Bockenau;"2181330601300"
Boos;"2181330601400"
Braunweiler;"2181330601500"
Burgsponheim;"2181330601900"
Dalberg;"2181330602100"
Duchroth;"2181330602700"
Gebroth;"2181330603300"
Gutenberg;"2181330603600"
Hargesheim;"2181330604000"
Hergenfeld;"2181330604400"
Hüffelsheim;"2181330604800"
Mandel;"2181330606100"
Münchwald;"2181330606800"
Niederhausen;"2181330607000"
Norheim;"2181330607100"
Oberhausen an der Nahe;"2181330607400"
Oberstreit;"2181330607500"
Roxheim;"2181330608600"
Sankt Katharinen;"2181330608800"
Schloßböckelheim;"2181330608900"
Sommerloch;"2181330609800"
Spabrücken;"2181330609900"
Spall;"2181330610000"
Sponheim;"2181330610100"
Traisen;"2181330610500"
Waldböckelheim;"2181330610700"
Wallhausen;"2181330610900"
Weinsheim;"2181330611200"
Winterbach;"2181330611500"
Rüdesheim;"2181330611700"
Bärenbach;"2181330900800"
Becherbach bei Kirn;"2181330901000"
Brauweiler;"2181330901600"
Hahnenbach;"2181330903800"
Heimweiler;"2181330904100"
Hennweiler;"2181330904300"
Hochstetten-Dhaun;"2181330904600"
Kirn;"2181330905200"
Limbach;"2181330905900"
Meckenbach;"2181330906300"
Oberhausen bei Kirn;"2181330907300"
Otzweiler;"2181330907700"
Simmertal;"2181330909600"
Weitersborn;"2181330911300"
Bruschied;"2181330920100"
Kellenbach;"2181330920200"
Königsau;"2181330920300"
Schneppenbach;"2181330920400"
Schwarzerden;"2181330920500"
Abtweiler;"2181331000100"
Auen;"2181331000500"
Bärweiler;"2181331000900"
Becherbach;"2181331001100"
Breitenheim;"2181331001700"
Callbach;"2181331002000"
Daubach;"2181331002200"
Desloch;"2181331002400"
Hundsbach;"2181331004900"
Ippenschied;"2181331005000"
Jeckenbach;"2181331005100"
Kirschroth;"2181331005300"
Langenthal;"2181331005500"
Lauschied;"2181331005700"
Löllbach;"2181331006000"
Meddersheim;"2181331006400"
Meisenheim;"2181331006500"
Merxheim;"2181331006600"
Monzingen;"2181331006700"
Nußbaum;"2181331007200"
Odernheim am Glan;"2181331007600"
Rehbach;"2181331008200"
Rehborn;"2181331008300"
Reiffelbach;"2181331008400"
Schmittweiler;"2181331009000"
Schweinschied;"2181331009200"
Seesbach;"2181331009400"
Staudernheim;"2181331010200"
Weiler bei Monzingen;"2181331011100"
Winterburg;"2181331011600"
Bad Sobernheim;"2181331050100"
Bretzenheim;"2171331101800"
Daxweiler;"2171331102300"
Dörrebach;"2171331102500"
Dorsheim;"2171331102600"
Eckenroth;"2171331102800"
Guldental;"2171331103500"
Langenlonsheim;"2171331105400"
Laubenheim;"2171331105600"
Heinzenberg;"2181330904200"
Horbach;"2181330904700"
Lettweiler;"2181331005800"
Martinstein;"2181331006200"
Raumbach;"2181331008100"
Roth;"2171331108500"
Rümmelsheim;"2171331108700"
Schöneberg;"2171331109100"
Schweppenhausen;"2171331109300"
Seibersbach;"2171331109500"
Stromberg;"2171331110300"
Waldlaubersheim;"2171331110800"
Warmsroth;"2171331111000"
Windesheim;"2171331111400"
Baumholder;"2191340100500"
Berglangenbach;"2191340100700"
Berschweiler bei Baumholder;"2191340100800"
Eckersweiler;"2191340102100"
Fohren-Linden;"2191340102600"
Frauenberg;"2191340102700"
Hahnweiler;"2191340103300"
Heimbach;"2191340103600"
Leitzweiler;"2191340105100"
Mettweiler;"2191340105400"
Reichenbach;"2191340106800"
Rohrbach;"2191340107300"
Rückweiler;"2191340107400"
Ruschberg;"2191340107500"
Abentheuer;"2191340200100"
Achtelsbach;"2191340200200"
Birkenfeld;"2191340201000"
Börfink;"2191340201100"
Brücken;"2191340201500"
Buhlenberg;"2191340201600"
Dambach;"2191340201800"
Dienstweiler;"2191340202000"
Elchweiler;"2191340202200"
Ellenberg;"2191340202300"
Ellweiler;"2191340202400"
Gimbweiler;"2191340202900"
Gollenberg;"2191340203100"
Hattgenstein;"2191340203400"
Hoppstädten-Weiersbach;"2191340204200"
Kronweiler;"2191340204800"
Leisel;"2191340205000"
Meckenbach;"2191340205300"
Niederbrombach;"2191340205700"
Niederhambach;"2191340205800"
Nohen;"2191340206100"
Oberbrombach;"2191340206200"
Oberhambach;"2191340206300"
Rimsberg;"2191340207000"
Rinzenberg;"2191340207100"
Rötsweiler-Nockenthal;"2191340207200"
Schmißberg;"2191340207800"
Schwollen;"2191340208000"
Siesbach;"2191340208400"
Sonnenberg-Winnenberg;"2191340208500"
Wilzenberg-Hußweiler;"2191340209400"
Allenbach;"2191340500300"
Asbach;"2191340500400"
Bergen;"2191340500600"
Berschweiler bei Kirn;"2191340500900"
Bollenbach;"2191340501200"
Breitenthal;"2191340501300"
Bruchweiler;"2191340501400"
Bundenbach;"2191340501700"
Dickesbach;"2191340501900"
Fischbach;"2191340502500"
Gerach;"2191340502800"
Gösenroth;"2191340503000"
Griebelschied;"2191340503200"
Hausen;"2191340503500"
Hellertshausen;"2191340503700"
Herborn;"2191340503800"
Herrstein;"2191340503900"
Hettenrodt;"2191340504000"
Hintertiefenbach;"2191340504100"
Horbruch;"2191340504300"
Hottenbach;"2191340504400"
Kempfeld;"2191340504600"
Kirschweiler;"2191340504700"
Krummenau;"2191340504900"
Mackenrodt;"2191340505200"
Mittelreidenbach;"2191340505500"
Mörschied;"2191340505600"
Niederhosenbach;"2191340505900"
Niederwörresbach;"2191340506000"
Oberhosenbach;"2191340506400"
Oberkirn;"2191340506500"
Oberreidenbach;"2191340506600"
Oberwörresbach;"2191340506700"
Rhaunen;"2191340506900"
Schauren;"2191340507600"
Schmidthachenbach;"2191340507700"
Schwerbach;"2191340507900"
Sensweiler;"2191340508100"
Sien;"2191340508200"
Sienhachenbach;"2191340508300"
Sonnschied;"2191340508600"
Stipshausen;"2191340508700"
Sulzbach;"2191340508800"
Veitsrodt;"2191340508900"
Vollmersbach;"2191340509000"
Weiden;"2191340509100"
Weitersbach;"2191340509200"
Wickenrodt;"2191340509300"
Wirschweiler;"2191340509500"
Langweiler;"2191340550200"
Beilstein;"2151350100700"
Bremm;"2151350101200"
Briedern;"2151350101500"
Bruttig-Fankel;"2151350101700"
Dohr;"2151350102100"
Ediger-Eller;"2151350102400"
Ellenz-Poltersdorf;"2151350102500"
Ernst;"2151350102700"
Faid;"2151350102900"
Greimersburg;"2151350103600"
Klotten;"2151350104900"
Lieg;"2151350105300"
Lütz;"2151350105600"
Mesenich;"2151350106000"
Moselkern;"2151350106500"
Müden (Mosel);"2151350106600"
Nehren;"2151350106900"
Pommern;"2151350107200"
Senheim;"2151350107900"
Treis-Karden;"2151350108200"
Valwig;"2151350108600"
Wirfus;"2151350109000"
Binningen;"2151350200900"
Brachtendorf;"2151350201100"
Brieden;"2151350201400"
Brohl;"2151350201600"
Dünfus;"2151350202200"
Düngenheim;"2151350202300"
Eppenberg;"2151350202600"
Eulgem;"2151350202800"
Forst (Eifel);"2151350203100"
Gamlen;"2151350203300"
Hambuch;"2151350203800"
Hauroth;"2151350204000"
Illerich;"2151350204200"
Kaifenheim;"2151350204300"
Kail;"2151350204400"
Kaisersesch;"2151350204500"
Kalenborn;"2151350204600"
Landkern;"2151350205100"
Laubach;"2151350205200"
Masburg;"2151350205800"
Möntenich;"2151350206200"
Müllenbach;"2151350206700"
Roes;"2151350207500"
Urmersbach;"2151350208400"
Zettingen;"2151350209300"
Leienkaul;"2151350250200"
Alflen;"2151350300200"
Auderath;"2151350300500"
Beuren;"2151350300800"
Büchel;"2151350301800"
Filz;"2151350303000"
Gevenich;"2151350303400"
Gillenbeuren;"2151350303500"
Kliding;"2151350304800"
Lutzerath;"2151350305700"
Schmitt;"2151350307800"
Ulmen;"2151350308300"
Urschmitt;"2151350308500"
Wagenhausen;"2151350308700"
Weiler;"2151350308900"
Wollmerath;"2151350309100"
Bad Bertrich;"2151350350100"
Alf;"2151350500100"
Altlay;"2151350500300"
Altstrimmig;"2151350500400"
Blankenrath;"2151350501000"
Briedel;"2151350501300"
Bullay;"2151350501900"
Forst (Hunsrück);"2151350503200"
Grenderich;"2151350503700"
Haserich;"2151350503900"
Hesweiler;"2151350504100"
Liesenich;"2151350505400"
Mittelstrimmig;"2151350506100"
Moritzheim;"2151350506400"
Neef;"2151350506800"
Panzweiler;"2151350507000"
Peterswald-Löffelscheid;"2151350507100"
Pünderich;"2151350507300"
Reidenhausen;"2151350507400"
Sankt Aldegund;"2151350507600"
Schauren;"2151350507700"
Sosberg;"2151350508000"
Tellig;"2151350508100"
Walhausen;"2151350508800"
Zell (Mosel);"2151350509200"
Kretz;"1111370105600"
Kruft;"1111370105700"
Nickenich;"1111370108100"
Plaidt;"1111370108800"
Saffig;"1111370109600"
Einig;"1121370202300"
Gappenach;"1121370202700"
Gering;"1121370202900"
Gierschnach;"1121370203000"
Kalt;"1121370204100"
Kerben;"1121370204800"
Kollig;"1121370205300"
Lonnig;"1121370206500"
Mertloch;"1121370207000"
Naunheim;"1121370208000"
Ochtendung;"1121370208600"
Pillig;"1121370208700"
Polch;"1121370208900"
Rüber;"1121370209500"
Trimbs;"1121370210200"
Welling;"1121370211200"
Wierschem;"1121370211400"
Münstermaifeld;"1121370250100"
Acht;"1121370300100"
Anschau;"1121370300400"
Arft;"1121370300600"
Baar;"1121370300700"
Bermel;"1121370301100"
Boos;"1121370301400"
Ditscheid;"1121370301900"
Ettringen;"1121370302500"
Hausten;"1121370303400"
Herresbach;"1121370303500"
Hirten;"1121370303600"
Kehrig;"1121370304300"
Kirchwald;"1121370304900"
Kottenheim;"1121370305500"
Langenfeld;"1121370306000"
Langscheid;"1121370306100"
Lind;"1121370306300"
Luxem;"1121370306600"
Monreal;"1121370307400"
Münk;"1121370307700"
Nachtsheim;"1121370307900"
Reudelsterz;"1121370309200"
Sankt Johann;"1121370309700"
Siebenbach;"1121370309900"
Virneburg;"1121370310500"
Weiler;"1121370311000"
Welschenbach;"1121370311300"
Bell;"1111370400800"
Mendig;"1111370406900"
Rieden;"1111370409300"
Thür;"1111370410100"
Volkesfeld;"1111370410600"
Niederwerth;"1101370721800"
Urbar;"1101370722400"
Vallendar;"1101370722600"
Weitersburg;"1101370722900"
Bassenheim;"1101370820200"
Kaltenengers;"1101370820900"
Kettig;"1101370821100"
Mülheim-Kärlich;"1101370821600"
Sankt Sebastian;"1101370822200"
Urmitz;"1101370822500"
Weißenthurm;"1101370822800"
Alken;"1121370920100"
Brey;"1121370920400"
Brodenbach;"1121370920500"
Burgen;"1121370920600"
Dieblich;"1121370920700"
Hatzenport;"1121370920800"
Kobern-Gondorf;"1121370921200"
Löf;"1121370921400"
Macken;"1121370921500"
Niederfell;"1121370921700"
Nörtershausen;"1121370921900"
Oberfell;"1121370922000"
Rhens;"1121370922100"
Spay;"1121370922300"
Waldesch;"1121370922700"
Winningen;"1121370923000"
Wolken;"1121370923100"
Lehmen;"1121370950400"
Asbach;"1031380100300"
Neustadt (Wied);"1031380104400"
Windhagen;"1031380107700"
Buchholz (Westerwald);"1031380108000"
Bad Hönningen;"1031380200400"
Hammerstein;"1031380202400"
Leutesdorf;"1031380203800"
Rheinbrohl;"1031380206300"
Dierdorf;"1041380301200"
Großmaischeid;"1041380302300"
Isenburg;"1041380303100"
Kleinmaischeid;"1041380303400"
Stebach;"1041380306900"
Marienhausen;"1041380320100"
Dattenberg;"1031380400900"
Leubsdorf;"1031380403700"
Linz am Rhein;"1031380404100"
Ockenfels;"1031380405500"
Sankt Katharinen;"1031380406800"
Vettelschoß;"1031380407500"
Kasbach-Ohlenberg;"1031380450100"
Dernbach;"1041380501100"
Döttesfeld;"1041380501300"
Dürrholz;"1041380501400"
Hanroth;"1041380502500"
Harschbach;"1041380502700"
Linkenbach;"1041380504000"
Niederhofen;"1041380504800"
Niederwambach;"1041380505000"
Oberdreis;"1041380505200"
Puderbach;"1041380505700"
Ratzert;"1041380505800"
Raubach;"1041380505900"
Rodenbach bei Puderbach;"1041380506400"
Steimel;"1041380507000"
Urbach;"1041380507400"
Woldert;"1041380507800"
Bruchhausen;"1031380700800"
Erpel;"1031380701900"
Rheinbreitbach;"1031380706200"
Unkel;"1031380707300"
Anhausen;"1031380900200"
Bonefeld;"1031380900500"
Breitscheid;"1031380900600"
Hausen (Wied);"1031380900700"
Datzeroth;"1031380901000"
Ehlscheid;"1031380901500"
Hardert;"1031380902600"
Hümmerich;"1031380903000"
Kurtscheid;"1031380903600"
Meinborn;"1031380904200"
Melsbach;"1031380904300"
Niederbreitbach;"1031380904700"
Oberhonnefeld-Gierend;"1031380905300"
Oberraden;"1031380905400"
Rengsdorf;"1031380906100"
Roßbach;"1031380906500"
Rüscheid;"1031380906600"
Straßenhaus;"1031380907100"
Thalhausen;"1031380907200"
Waldbreitbach;"1031380907600"
Alterkülz;"2161400300100"
Bell (Hunsrück);"2161400300900"
Beltheim;"2161400301000"
Braunshorn;"2161400301800"
Buch;"2161400302100"
Gödenroth;"2161400304200"
Hasselbach;"2161400304600"
Hollnich;"2161400305500"
Kastellaun;"2161400306400"
Korweiler;"2161400307300"
Michelbach;"2161400309500"
Roth;"2161400313100"
Spesenroth;"2161400314700"
Uhler;"2161400315300"
Dommershausen;"2161400320200"
Mastershausen;"2161400320400"
Lahr;"2161400350200"
Mörsdorf;"2161400350300"
Zilshausen;"2161400350400"
Bärenbach;"2231400400600"
Belg;"2231400400700"
Büchenbeuren;"2231400402400"
Dickenschied;"2231400402800"
Dill;"2231400402900"
Dillendorf;"2231400403000"
Gehlweiler;"2231400404000"
Gemünden;"2231400404100"
Hahn;"2231400404400"
Hecken;"2231400404800"
Heinzenbach;"2231400404900"
Henau;"2231400405000"
Hirschfeld (Hunsrück);"2231400405300"
Kappel;"2231400406200"
Kirchberg (Hunsrück);"2231400406700"
Kludenbach;"2231400407100"
Laufersweiler;"2231400408100"
Lautzenhausen;"2231400408200"
Lindenschied;"2231400408600"
Maitzborn;"2231400409000"
Metzenhausen;"2231400409400"
Nieder Kostenz;"2231400410500"
Niedersohren;"2231400410700"
Niederweiler;"2231400410900"
Ober Kostenz;"2231400411100"
Raversbeuren;"2231400412000"
Reckershausen;"2231400412200"
Rödelhausen;"2231400412800"
Rödern;"2231400412900"
Rohrbach;"2231400413000"
Schlierschied;"2231400413500"
Schwarzen;"2231400414100"
Sohren;"2231400414500"
Sohrschied;"2231400414600"
Todenroth;"2231400415100"
Unzenberg;"2231400415400"
Wahlenau;"2231400415900"
Womrath;"2231400416300"
Woppenroth;"2231400416400"
Würrich;"2231400416500"
Altweidelbach;"2161400800200"
Argenthal;"2161400800300"
Belgweiler;"2161400800800"
Benzweiler;"2161400801100"
Bergenhausen;"2161400801200"
Biebern;"2161400801500"
Bubach;"2161400802000"
Budenbach;"2161400802300"
Dichtelbach;"2161400802700"
Ellern (Hunsrück);"2161400803500"
Erbach;"2161400803700"
Fronhofen;"2161400803900"
Holzbach;"2161400805600"
Horn;"2161400805800"
Keidelheim;"2161400806500"
Kisselbach;"2161400806800"
Klosterkumbd;"2161400807000"
Külz (Hunsrück);"2161400807600"
Kümbdchen;"2161400807700"
Laubach;"2161400807900"
Liebshausen;"2161400808500"
Mengerschied;"2161400809200"
Mörschbach;"2161400809600"
Mutterschied;"2161400809900"
Nannhausen;"2161400810000"
Neuerkirch;"2161400810100"
Niederkumbd;"2161400810600"
Ohlweiler;"2161400811300"
Oppertshausen;"2161400811500"
Pleizenhausen;"2161400811800"
Ravengiersburg;"2161400811900"
Rayerschied;"2161400812100"
Reich;"2161400812300"
Rheinböllen;"2161400812500"
Riegenroth;"2161400812600"
Riesweiler;"2161400812700"
Sargenroth;"2161400813400"
Schnorbach;"2161400813800"
Schönborn;"2161400813900"
Simmern (Hunsrück);"2161400814400"
Steinbach;"2161400814800"
Tiefenbach;"2161400815000"
Wahlbach;"2161400815800"
Wüschheim;"2161400816600"
Badenhard;"2161400900500"
Bickenbach;"2161400901400"
Birkheim;"2161400901600"
Damscheid;"2161400902500"
Dörth;"2161400903100"
Emmelshausen;"2161400903600"
Gondershausen;"2161400904300"
Halsenbach;"2161400904500"
Hausbay;"2161400904700"
Hungenroth;"2161400906000"
Karbach;"2161400906300"
Kratzenburg;"2161400907500"
Laudert;"2161400908000"
Leiningen;"2161400908400"
Lingerhahn;"2161400908700"
Maisborn;"2161400908900"
Mermuth;"2161400909300"
Mühlpfad;"2161400909800"
Ney;"2161400910200"
Niederburg;"2161400910400"
Niedert;"2161400910800"
Norath;"2161400911000"
Oberwesel;"2161400911200"
Perscheid;"2161400911600"
Pfalzfeld;"2161400911700"
Sankt Goar;"2161400913300"
Schwall;"2161400914000"
Thörlingen;"2161400914900"
Urbar;"2161400915500"
Utzenhain;"2161400915600"
Wiebelsheim;"2161400916100"
Beulich;"2161400920100"
Morshausen;"2161400920500"
"Lahnstein, Verbandsfreie Gemeinde";"1081410007500"
Altendiez;"1071410300200"
Aull;"1071410300500"
Birlenbach;"1071410301400"
Charlottenberg;"1071410302100"
Cramberg;"1071410302200"
Diez;"1071410302900"
Dörnberg;"1071410303000"
Eppenrod;"1071410303800"
Geilnau;"1071410304500"
Gückingen;"1071410304900"
Hambach;"1071410305200"
Heistenbach;"1071410305300"
Hirschberg;"1071410305700"
Holzappel;"1071410305900"
Holzheim;"1071410306100"
Horhausen;"1071410306200"
Isselbach;"1071410306400"
Langenscheid;"1071410307600"
Laurenburg;"1071410307700"
Scheidt;"1071410312400"
Steinsberg;"1071410313000"
Wasenbach;"1071410313300"
Balduinstein;"1071410350300"
Berg;"1071410700900"
Bettendorf;"1071410701200"
Bogel;"1071410701500"
Buch;"1071410701900"
Ehr;"1071410703500"
Endlichhofen;"1071410703700"
Eschbach;"1071410704000"
Gemmerich;"1071410704700"
Himmighofen;"1071410705500"
Holzhausen an der Haide;"1071410706000"
Hunzel;"1071410706300"
Kasdorf;"1071410706700"
Kehlbach;"1071410707000"
Lautert;"1071410707800"
Lipporn;"1071410708000"
Marienfels;"1071410708400"
Miehlen;"1071410708500"
Nastätten;"1071410709200"
Niederbachheim;"1071410709400"
Niederwallmenach;"1071410709700"
Oberbachheim;"1071410710000"
Obertiefenbach;"1071410710400"
Oberwallmenach;"1071410710500"
Oelsberg;"1071410710700"
Hainau;"1071410711000"
Rettershain;"1071410711600"
Ruppertshofen;"1071410712000"
Strüth;"1071410713100"
Weidenbach;"1071410713400"
Welterod;"1071410713700"
Winterwerb;"1071410714000"
Diethardt;"1071410750200"
Auel;"1081410900400"
Bornich;"1081410901600"
Dachsenhausen;"1081410902300"
Dahlheim;"1081410902400"
Dörscheid;"1081410903100"
Filsen;"1081410904200"
Kamp-Bornhofen;"1081410906600"
Kaub;"1081410906900"
Kestert;"1081410907200"
Lierschied;"1081410907900"
Lykershausen;"1081410908300"
Nochern;"1081410909900"
Osterspai;"1081410910800"
Patersberg;"1081410910900"
Prath;"1081410911200"
Reichenberg;"1081410911400"
Reitzenhain;"1081410911500"
Sankt Goarshausen;"1081410912100"
Sauerthal;"1081410912200"
Weisel;"1081410913600"
Weyer;"1081410913800"
Braubach;"1081410950100"
Attenhausen;"1071411000300"
Bad Ems;"1071411000600"
Becheln;"1071411000800"
Dausenau;"1071411002500"
Dessighofen;"1071411002600"
Dienethal;"1071411002700"
Dornholzhausen;"1071411003300"
Fachbach;"1071411004100"
Frücht;"1071411004400"
Geisig;"1071411004600"
Hömberg;"1071411005800"
Kemmenau;"1071411007100"
Lollschied;"1071411008200"
Miellen;"1071411008600"
Misselberg;"1071411008700"
Nassau;"1071411009100"
Nievern;"1071411009800"
Obernhof;"1071411010300"
Oberwies;"1071411010600"
Pohl;"1071411011100"
Schweighausen;"1071411012700"
Seelbach;"1071411012800"
Singhofen;"1071411012900"
Sulzbach;"1071411013200"
Weinähr;"1071411013500"
Winden;"1071411013900"
Zimmerschied;"1071411014100"
Arzbach;"1071411020100"
Allendorf;"1071411100100"
Berghausen;"1071411101000"
Berndroth;"1071411101100"
Biebrich;"1071411101300"
Bremberg;"1071411101800"
Burgschwalbach;"1071411102000"
